,home_team,away_team,ht_score,at_score,total_points,ht_pts_diff,ht_vegas_line
0,sea,gnb,36,16,52,20,-8.5
1,chi,buf,20,23,43,-3,-7
2,ram,min,6,34,40,-28,-3.5
3,rav,cin,16,23,39,-7,-2
4,pit,cle,30,27,57,3,-7
5,phi,jax,34,17,51,17,-10.5
6,kan,oti,10,26,36,-16,-3.5
7,nyj,rai,19,14,33,5,-5.5
8,atl,nor,37,34,71,3,3
9,htx,was,17,6,23,11,-3
10,mia,nwe,33,20,53,13,5
11,tam,car,14,20,34,-6,-2.5
12,dal,sfo,17,28,45,-11,4.5
13,den,clt,31,24,55,7,-7.5
14,det,nyg,35,14,49,21,-5.5
15,crd,sdg,18,17,35,1,-3
16,rav,pit,26,6,32,20,-2.5
17,buf,mia,29,10,39,19,-1.5
18,cle,nor,26,24,50,2,6
19,oti,dal,10,26,36,-16,-3.5
20,car,det,24,7,31,17,-2.5
21,nyg,crd,14,25,39,-11,2
22,cin,atl,24,10,34,14,-6
23,was,jax,41,10,51,31,-6
24,min,nwe,7,30,37,-23,5.5
25,tam,ram,17,19,36,-2,-5.5
26,sdg,sea,30,21,51,9,5.5
27,den,kan,24,17,41,7,-11.5
28,gnb,nyj,31,24,55,7,-7.5
29,rai,htx,14,30,44,-16,3
30,sfo,chi,20,28,48,-8,-7
31,clt,phi,27,30,57,-3,-3
32,atl,tam,56,14,70,42,-6
33,ram,dal,31,34,65,-3,1.5
34,buf,sdg,10,22,32,-12,-2.5
35,cin,oti,33,7,40,26,-6.5
36,cle,rav,21,23,44,-2,2
37,jax,clt,17,44,61,-27,7
38,det,gnb,19,7,26,12,-2.5
39,nyg,htx,30,17,47,13,-1.5
40,nwe,rai,16,9,25,7,-14
41,phi,was,37,34,71,3,-6
42,nor,min,20,9,29,11,-10
43,crd,sfo,23,14,37,9,3
44,sea,den,26,20,46,6,-4.5
45,mia,kan,15,34,49,-19,-3.5
46,car,pit,19,37,56,-18,-3
47,nyj,chi,19,27,46,-8,-2.5
48,was,nyg,14,45,59,-31,-3.5
49,htx,buf,23,17,40,6,-3
50,rav,car,38,10,48,28,-3
51,chi,gnb,17,38,55,-21,1.5
52,nyj,det,17,24,41,-7,1.5
53,clt,oti,41,17,58,24,-7.5
54,pit,tam,24,27,51,-3,-7.5
55,rai,mia,14,38,52,-24,3.5
56,sdg,jax,33,14,47,19,-12.5
57,min,atl,41,28,69,13,3
58,sfo,phi,26,21,47,5,-5
59,dal,nor,38,17,55,21,3
60,kan,nwe,41,14,55,27,3
61,gnb,min,42,10,52,32,-7.5
62,oti,cle,28,29,57,-1,-1
63,jax,pit,9,17,26,-8,6
64,phi,ram,34,28,62,6,-6.5
65,nyg,atl,30,20,50,10,-4
66,det,buf,14,17,31,-3,-6.5
67,car,chi,31,24,55,7,-2.5
68,clt,rav,20,13,33,7,-3
69,dal,htx,20,17,37,3,-6.5
70,nor,tam,37,31,68,6,-10
71,den,crd,41,20,61,21,-7.5
72,sfo,kan,22,17,39,5,-5
73,sdg,nyj,31,0,31,31,-6.5
74,nwe,cin,43,17,60,26,0
75,was,sea,17,27,44,-10,7
76,htx,clt,28,33,61,-5,2.5
77,cle,pit,31,10,41,21,-1.5
78,nyj,den,17,31,48,-14,9.5
79,buf,nwe,22,37,59,-15,-1
80,min,det,3,17,20,-14,-1.5
81,mia,gnb,24,27,51,-3,1.5
82,oti,jax,16,14,30,2,-4
83,tam,rav,17,48,65,-31,3
84,cin,car,37,37,74,0,-7
85,rai,sdg,28,31,59,-3,7.5
86,crd,was,30,20,50,10,-5.5
87,atl,chi,13,27,40,-14,-3.5
88,sea,dal,23,30,53,-7,-9.5
89,phi,nyg,27,0,27,27,-1.5
90,ram,sfo,17,31,48,-14,3.5
91,nwe,nyj,27,25,52,2,-9.5
92,ram,sea,28,26,54,2,7
93,chi,mia,14,27,41,-13,-3
94,clt,cin,27,0,27,27,-3.5
95,jax,cle,24,6,30,18,4
96,rav,atl,29,7,36,22,-6.5
97,buf,min,17,16,33,1,-6.5
98,gnb,car,38,17,55,21,-6.5
99,det,nor,24,23,47,1,-1.5
100,was,oti,19,17,36,2,-6
101,sdg,kan,20,23,43,-3,-3
102,rai,crd,13,24,37,-11,3.5
103,dal,nyg,31,21,52,10,-5.5
104,den,sfo,42,17,59,25,-6.5
105,pit,htx,30,23,53,7,-3
106,den,sdg,35,21,56,14,-9
107,atl,det,21,22,43,-1,3.5
108,cin,rav,27,24,51,3,3
109,nyj,buf,23,43,66,-20,-3
110,nwe,chi,51,23,74,28,-6
111,jax,mia,13,27,40,-14,7
112,oti,htx,16,30,46,-14,3.5
113,tam,min,13,19,32,-6,-1.5
114,kan,ram,34,7,41,27,-7
115,car,sea,9,13,22,-4,6
116,crd,phi,24,20,44,4,1
117,cle,rai,23,13,36,10,-6.5
118,pit,clt,51,34,85,17,4.5
119,nor,gnb,44,23,67,21,-2
120,dal,was,17,20,37,-3,-9.5
121,car,nor,10,28,38,-18,3
122,cin,jax,33,23,56,10,-10
123,cle,tam,22,17,39,5,-7
124,mia,sdg,37,0,37,37,-3
125,kan,nyj,24,10,34,14,-8.5
126,htx,phi,21,31,52,-10,2
127,min,was,29,26,55,3,0
128,dal,crd,17,28,45,-11,-1.5
129,sfo,ram,10,13,23,-3,-10.5
130,nwe,den,43,21,64,22,3
131,sea,rai,30,24,54,6,-13.5
132,pit,rav,43,23,66,20,-2.5
133,nyg,clt,24,40,64,-16,3
134,cin,cle,3,24,27,-21,-6.5
135,buf,kan,13,17,30,-4,-1.5
136,det,mia,20,16,36,4,-3
137,nyj,pit,20,13,33,7,4.5
138,nor,sfo,24,27,51,-3,-5.5
139,rav,oti,21,7,28,14,-10.5
140,tam,atl,17,27,44,-10,3
141,jax,dal,17,31,48,-14,7.5
142,rai,den,17,41,58,-24,12.5
143,crd,ram,31,14,45,17,-7
144,sea,nyg,38,17,55,21,-9.5
145,gnb,chi,55,14,69,41,-9.5
146,phi,car,45,21,66,24,-7
147,mia,buf,22,9,31,13,-5
148,ram,den,22,7,29,15,9.5
149,chi,min,21,13,34,8,-2.5
150,nor,cin,10,27,37,-17,-7
151,car,atl,17,19,36,-2,1.5
152,cle,htx,7,23,30,-16,-3.5
153,nyg,sfo,10,16,26,-6,4
154,was,tam,7,27,34,-20,-7.5
155,kan,sea,24,20,44,4,0
156,sdg,rai,13,6,19,7,-10
157,crd,det,14,6,20,8,-1
158,gnb,phi,53,20,73,33,-5.5
159,clt,nwe,20,42,62,-22,-3
160,oti,pit,24,27,51,-3,5.5
161,rai,kan,24,20,44,4,7
162,atl,cle,24,26,50,-2,-2.5
163,chi,tam,21,13,34,8,-4.5
164,htx,cin,13,22,35,-9,-2.5
165,clt,jax,23,3,26,20,-13.5
166,nwe,det,34,9,43,25,-7
167,phi,oti,43,24,67,19,-11
168,min,gnb,21,24,45,-3,7.5
169,sdg,ram,27,24,51,3,-5
170,sea,crd,19,3,22,16,-7
171,den,mia,39,36,75,3,-7
172,sfo,was,17,13,30,4,-9.5
173,nyg,dal,28,31,59,-3,5
174,buf,nyj,38,3,41,35,-2.5
175,nor,rav,27,34,61,-7,-3
176,det,chi,34,17,51,17,-7
177,dal,phi,10,33,43,-23,-3.5
178,sfo,sea,3,19,22,-16,-1.5
179,ram,rai,52,0,52,52,-6
180,buf,cle,26,10,36,16,-3
181,min,car,31,13,44,18,-2.5
182,tam,cin,13,14,27,-1,6
183,clt,was,49,27,76,22,-8.5
184,htx,oti,45,21,66,24,-7
185,pit,nor,32,35,67,-3,-3.5
186,rav,sdg,33,34,67,-1,-6.5
187,jax,nyg,25,24,49,1,3
188,atl,crd,29,18,47,11,1.5
189,gnb,nwe,26,21,47,5,-3
190,kan,den,16,29,45,-13,0
191,nyj,mia,13,16,29,-3,7
192,chi,dal,28,41,69,-13,4
193,cin,pit,21,42,63,-21,-3
194,det,tam,34,17,51,17,-10.5
195,mia,rav,13,28,41,-15,-3
196,min,nyj,30,24,54,6,-4.5
197,nor,car,10,41,51,-31,-9
198,cle,clt,24,25,49,-1,3
199,jax,htx,13,27,40,-14,6.5
200,oti,nyg,7,36,43,-29,3
201,was,ram,0,24,24,-24,3
202,den,buf,24,17,41,7,-9.5
203,crd,kan,17,14,31,3,2.5
204,phi,sea,14,24,38,-10,2
205,rai,sfo,24,13,37,11,9
206,sdg,nwe,14,23,37,-9,4
207,gnb,atl,43,37,80,6,-13.5
208,ram,crd,6,12,18,-6,-4.5
209,atl,pit,20,27,47,-7,3
210,buf,gnb,21,13,34,8,4
211,cle,cin,0,30,30,-30,-1
212,clt,htx,17,10,27,7,-6.5
213,rav,jax,20,12,32,8,-13.5
214,nwe,mia,41,13,54,28,-7.5
215,nyg,was,24,13,37,11,-6.5
216,car,tam,19,17,36,2,-3
217,kan,rai,31,13,44,18,-10
218,sdg,den,10,22,32,-12,4.5
219,oti,nyj,11,16,27,-5,3
220,det,min,16,14,30,2,-7.5
221,sea,sfo,17,7,24,10,-9.5
222,phi,dal,27,38,65,-11,-3
223,chi,nor,15,31,46,-16,3
224,jax,oti,21,13,34,8,-4.5
225,was,phi,27,24,51,3,7
226,sfo,sdg,35,38,73,-3,-1.5
227,htx,rav,25,13,38,12,6.5
228,pit,kan,20,12,32,8,-2.5
229,nyj,nwe,16,17,33,-1,10
230,nor,atl,14,30,44,-16,-6
231,chi,det,14,20,34,-6,10
232,tam,gnb,3,20,23,-17,12
233,mia,min,37,35,72,2,-4.5
234,car,cle,17,13,30,4,-6
235,ram,nyg,27,37,64,-10,-6.5
236,rai,buf,26,24,50,2,6.5
237,dal,clt,42,7,49,35,-3
238,crd,sea,6,35,41,-29,9
239,cin,den,37,28,65,9,3.5
240,nwe,buf,9,17,26,-8,-6.5
241,min,chi,13,9,22,4,-7
242,rav,cle,20,10,30,10,-13.5
243,oti,clt,10,27,37,-17,7.5
244,mia,nyj,24,37,61,-13,-6.5
245,nyg,phi,26,34,60,-8,0
246,htx,jax,23,17,40,6,-7.5
247,kan,sdg,19,7,26,12,-2.5
248,tam,nor,20,23,43,-3,5.5
249,was,dal,17,44,61,-27,6
250,atl,car,3,34,37,-31,-3
251,sfo,crd,20,17,37,3,-6.5
252,den,rai,47,14,61,33,-14
253,gnb,det,30,20,50,10,-7
254,sea,ram,20,6,26,14,-11
255,pit,cin,27,17,44,10,-3.5