,home_team,away_team,ht_score,at_score,total_points,ht_pts_diff,ht_vegas_line
0,nwe,pit,28,21,49,7,-7.0
1,chi,gnb,23,31,54,-8,6.5
2,ram,sea,34,31,65,3,4.0
3,htx,kan,20,27,47,-7,-1.0
4,was,mia,10,17,27,-7,3.0
5,buf,clt,27,14,41,13,2.5
6,jax,car,9,20,29,-11,3.0
7,nyj,cle,31,10,41,21,-3.5
8,crd,nor,31,19,50,12,-2.0
9,sdg,det,33,28,61,5,-2.5
10,rai,cin,13,33,46,-20,3.0
11,den,rav,19,13,32,6,-4.5
12,tam,oti,14,42,56,-28,-3.0
13,dal,nyg,27,26,53,1,-6.0
14,atl,phi,26,24,50,2,2.5
15,sfo,min,20,3,23,17,1.5
16,kan,den,24,31,55,-7,-3.0
17,chi,crd,23,48,71,-25,2.0
18,nyg,atl,20,24,44,-4,-2.5
19,buf,nwe,32,40,72,-8,1.0
20,car,htx,24,17,41,7,-3.0
21,cle,oti,28,14,42,14,2.0
22,nor,tam,19,26,45,-7,-10.0
23,pit,sfo,43,18,61,25,-6.5
24,cin,sdg,24,19,43,5,-3.0
25,min,det,26,16,42,10,-2.0
26,was,ram,24,10,34,14,3.0
27,jax,mia,23,20,43,3,6.0
28,rai,rav,37,33,70,4,6.0
29,phi,dal,10,20,30,-10,-5.0
30,gnb,sea,27,17,44,10,-3.0
31,clt,nyj,7,20,27,-13,-7.0
32,nyg,was,32,21,53,11,-3.5
33,ram,pit,6,12,18,-6,1.0
34,rav,cin,24,28,52,-4,-2.5
35,cle,rai,20,27,47,-7,-3.5
36,min,sdg,31,14,45,17,-1.0
37,dal,atl,28,39,67,-11,1.0
38,car,nor,27,22,49,5,-9.5
39,oti,clt,33,35,68,-2,3.5
40,htx,tam,19,9,28,10,-6.5
41,nyj,phi,17,24,41,-7,-1.5
42,nwe,jax,51,17,68,34,-13.5
43,crd,sfo,47,7,54,40,-6.5
44,mia,buf,14,41,55,-27,-2.5
45,sea,chi,26,0,26,26,-14.5
46,det,den,12,24,36,-12,3.0
47,gnb,kan,38,28,66,10,-6.0
48,pit,rav,20,23,43,-3,2.5
49,mia,nyj,14,27,41,-13,1.5
50,atl,htx,48,21,69,27,-6.0
51,buf,nyg,10,24,34,-14,-5.5
52,chi,rai,22,20,42,2,3.0
53,clt,jax,16,13,29,3,-9.5
54,tam,car,23,37,60,-14,3.0
55,cin,kan,36,21,57,15,-3.5
56,was,phi,23,20,43,3,3.0
57,sdg,cle,30,27,57,3,-7.0
58,crd,ram,22,24,46,-2,-7.0
59,den,min,23,20,43,3,-7.0
60,sfo,gnb,3,17,20,-14,7.5
61,nor,dal,26,20,46,6,-3.0
62,sea,det,13,10,23,3,-9.5
63,htx,clt,20,27,47,-7,-2.0
64,atl,was,25,19,44,6,-7.0
65,kan,chi,17,18,35,-1,-9.0
66,rav,cle,30,33,63,-3,-6.0
67,gnb,ram,24,10,34,14,-9.0
68,tam,jax,38,31,69,7,-2.5
69,oti,buf,13,14,27,-1,1.0
70,cin,sea,27,24,51,3,-3.0
71,phi,nor,39,17,56,22,-6.0
72,det,crd,17,42,59,-25,3.0
73,dal,nwe,6,30,36,-24,9.0
74,rai,den,10,16,26,-6,4.0
75,nyg,sfo,30,27,57,3,-6.5
76,sdg,pit,20,24,44,-4,-3.5
77,nor,atl,31,21,52,10,3.0
78,nyj,was,34,20,54,14,-7.0
79,buf,cin,21,34,55,-13,3.0
80,det,chi,37,34,71,3,-3.0
81,cle,den,23,26,49,-3,3.5
82,jax,htx,20,31,51,-11,-2.5
83,min,kan,16,10,26,6,-3.5
84,oti,mia,10,38,48,-28,-2.0
85,pit,crd,25,13,38,12,3.5
86,sea,car,23,27,50,-4,-7.0
87,gnb,sdg,27,20,47,7,-10.5
88,sfo,rav,25,20,45,5,2.0
89,clt,nwe,27,34,61,-7,9.5
90,phi,nyg,27,7,34,20,-5.0
91,sfo,sea,3,20,23,-17,6.5
92,jax,buf,34,31,65,3,4.0
93,ram,cle,24,6,30,18,-6.5
94,nwe,nyj,30,23,53,7,-7.5
95,oti,atl,7,10,17,-3,6.0
96,det,min,19,28,47,-9,2.0
97,mia,htx,44,26,70,18,-4.5
98,clt,nor,21,27,48,-6,-4.0
99,kan,pit,23,13,36,10,-3.0
100,was,tam,31,30,61,1,-3.0
101,sdg,rai,29,37,66,-8,-3.5
102,nyg,dal,27,20,47,7,-3.0
103,car,phi,27,16,43,11,-3.0
104,crd,rav,26,18,44,8,-8.0
105,nwe,mia,36,7,43,29,-7.5
106,kan,det,45,10,55,35,-3.5
107,chi,min,20,23,43,-3,1.0
108,ram,sfo,27,6,33,21,-7.5
109,pit,cin,10,16,26,-6,-1.0
110,atl,tam,20,23,43,-3,-7.0
111,cle,crd,20,34,54,-14,6.0
112,htx,oti,20,6,26,14,-3.5
113,nor,nyg,52,49,101,3,-3.0
114,rav,sdg,29,26,55,3,-3.5
115,rai,nyj,34,20,54,14,3.0
116,dal,sea,12,13,25,-1,4.5
117,den,gnb,29,10,39,19,2.5
118,car,clt,29,26,55,3,-6.5
119,cin,cle,31,10,41,21,-11.0
120,buf,mia,33,17,50,16,-3.0
121,nyj,jax,28,23,51,5,-8.0
122,min,ram,21,18,39,3,-1.0
123,nwe,was,27,10,37,17,-14.0
124,nor,oti,28,34,62,-6,-7.5
125,pit,rai,38,35,73,3,-4.5
126,car,gnb,37,29,66,8,2.5
127,sfo,atl,17,16,33,1,7.5
128,tam,nyg,18,32,50,-14,1.0
129,clt,den,27,24,51,3,5.5
130,dal,phi,27,33,60,-6,3.0
131,sdg,chi,19,22,41,-3,-4.5
132,nyj,buf,17,22,39,-5,-2.5
133,ram,chi,13,37,50,-24,-6.5
134,oti,car,10,27,37,-17,4.0
135,gnb,det,16,18,34,-2,-10.5
136,pit,cle,30,9,39,21,-6.0
137,tam,dal,10,6,16,4,-1.0
138,rav,jax,20,22,42,-2,-5.0
139,phi,mia,19,20,39,-1,-6.0
140,was,nor,47,14,61,33,1.0
141,rai,min,14,30,44,-16,-3.0
142,den,kan,13,29,42,-16,-4.5
143,nyg,nwe,26,27,53,-1,7.5
144,sea,crd,32,39,71,-7,-3.0
145,cin,htx,6,10,16,-4,-10.5
146,jax,oti,19,13,32,6,-2.5
147,atl,clt,21,24,45,-3,-4.5
148,car,was,44,16,60,28,-7.0
149,chi,den,15,17,32,-2,1.0
150,det,rai,18,13,31,5,1.0
151,phi,tam,17,45,62,-28,-6.0
152,rav,ram,16,13,29,3,-2.5
153,mia,dal,14,24,38,-10,1.5
154,htx,nyj,24,17,41,7,3.0
155,sdg,kan,3,33,36,-30,3.0
156,min,gnb,13,30,43,-17,-1.0
157,sea,sfo,29,13,42,16,-13.5
158,crd,cin,34,31,65,3,-4.5
159,nwe,buf,20,13,33,7,-7.0
160,det,phi,45,14,59,31,-2.0
161,dal,car,14,33,47,-19,-1.5
162,gnb,chi,13,17,30,-4,-8.5
163,atl,min,10,20,30,-10,-2.5
164,cin,ram,31,7,38,24,-8.5
165,clt,tam,25,12,37,13,-3.0
166,htx,nor,24,6,30,18,-3.0
167,nyj,mia,38,20,58,18,-4.0
168,oti,rai,21,24,45,-3,1.0
169,kan,buf,30,22,52,8,-5.5
170,jax,sdg,25,31,56,-6,-4.5
171,was,nyg,20,14,34,6,2.5
172,sfo,crd,13,19,32,-6,9.5
173,sea,pit,39,30,69,9,-3.5
174,den,nwe,30,24,54,6,2.5
175,cle,rav,27,33,60,-6,-3.5
176,det,gnb,23,27,50,-4,3.0
177,ram,crd,3,27,30,-24,4.5
178,buf,htx,30,21,51,9,-3.5
179,chi,sfo,20,26,46,-6,-6.5
180,oti,jax,42,39,81,3,-2.5
181,min,sea,7,38,45,-31,1.5
182,tam,atl,23,19,42,4,-1.0
183,cle,cin,3,37,40,-34,9.0
184,mia,rav,15,13,28,2,-3.5
185,nyg,nyj,20,23,43,-3,2.5
186,sdg,den,3,17,20,-14,3.5
187,rai,kan,20,34,54,-14,3.0
188,nor,car,38,41,79,-3,6.5
189,nwe,phi,28,35,63,-7,-8.0
190,pit,clt,45,10,55,35,-7.5
191,was,dal,16,19,35,-3,-3.5
192,crd,min,23,20,43,3,-8.5
193,phi,buf,23,20,43,3,-1.0
194,chi,was,21,24,45,-3,-3.5
195,cin,pit,20,33,53,-13,-2.5
196,cle,sfo,24,10,34,14,-1.5
197,jax,clt,51,16,67,35,-1.5
198,ram,det,21,14,35,7,3.5
199,tam,nor,17,24,41,-7,-4.5
200,nyj,oti,30,8,38,22,-7.0
201,rav,sea,6,35,41,-29,11.0
202,car,atl,38,0,38,38,-7.5
203,kan,sdg,10,3,13,7,-10.5
204,den,rai,12,15,27,-3,-6.5
205,gnb,dal,28,7,35,21,-6.5
206,htx,nwe,6,27,33,-21,3.5
207,mia,nyg,24,31,55,-7,1.0
208,ram,tam,31,23,54,8,-2.5
209,dal,nyj,16,19,35,-3,3.0
210,jax,atl,17,23,40,-6,-3.0
211,nyg,car,35,38,73,-3,4.0
212,min,chi,38,17,55,21,-5.5
213,clt,htx,10,16,26,-6,-1.5
214,rav,kan,14,34,48,-20,6.5
215,nwe,oti,33,16,49,17,-14.0
216,was,buf,35,25,60,10,2.5
217,rai,gnb,20,30,50,-10,3.0
218,sea,cle,30,13,43,17,-14.0
219,sfo,cin,14,24,38,-10,5.5
220,pit,den,34,27,61,7,-6.0
221,sdg,mia,30,14,44,16,-1.5
222,phi,crd,17,40,57,-23,3.5
223,nor,det,27,35,62,-8,-2.5
224,rai,sdg,23,20,43,3,-6.0
225,phi,was,24,38,62,-14,-3.0
226,atl,car,20,13,33,7,6.5
227,buf,dal,16,6,22,10,-6.5
228,mia,clt,12,18,30,-6,-2.5
229,oti,htx,6,34,40,-28,3.5
230,nyj,nwe,26,20,46,6,3.0
231,rav,pit,20,17,37,3,10.0
232,tam,chi,21,26,47,-5,-3.0
233,kan,cle,17,13,30,4,-10.5
234,det,sfo,32,17,49,15,-9.5
235,nor,jax,38,27,65,11,-3.0
236,crd,gnb,38,8,46,30,-4.5
237,sea,ram,17,23,40,-6,-12.0
238,min,nyg,49,17,66,32,-7.0
239,den,cin,20,17,37,3,-3.0
240,atl,nor,17,20,37,-3,-5.5
241,buf,nyj,22,17,39,5,3.0
242,chi,det,20,24,44,-4,1.0
243,cin,rav,24,16,40,8,-9.5
244,cle,pit,12,28,40,-16,11.0
245,clt,oti,30,24,54,6,-4.5
246,htx,jax,30,6,36,24,-6.5
247,mia,nwe,20,10,30,10,9.0
248,dal,was,23,34,57,-11,-3.5
249,nyg,phi,30,35,65,-5,-5.0
250,car,tam,38,10,48,28,-10.0
251,crd,sea,6,36,42,-30,-6.5
252,den,sdg,27,20,47,7,-10.0
253,sfo,ram,19,16,35,3,3.5
254,kan,rai,23,17,40,6,-7.0
255,gnb,min,13,20,33,-7,-3.0
