,home_team,away_team,ht_score,at_score,total_points,ht_pts_diff,ht_vegas_line
0,tam,dal,31,29,60,2,-8.5
1,atl,phi,6,32,38,-26,-3.5
2,buf,pit,16,23,39,-7,-6.5
3,car,nyj,19,14,33,5,-4.0
4,cin,min,27,24,51,3,3.0
5,clt,sea,16,28,44,-12,3.0
6,oti,crd,13,38,51,-25,-3.0
7,det,sfo,33,41,74,-8,9.0
8,htx,jax,37,21,58,16,3.0
9,was,sdg,16,20,36,-4,-1.5
10,kan,cle,33,29,62,4,-5.5
11,nyg,den,13,27,40,-14,3.0
12,nor,gnb,38,3,41,35,3.5
13,nwe,mia,16,17,33,-1,-3.0
14,ram,chi,34,14,48,20,-8.0
15,rai,rav,33,27,60,6,4.0
16,was,nyg,30,29,59,1,-3.5
17,mia,buf,0,35,35,-35,3.5
18,car,nor,26,7,33,19,3.0
19,chi,cin,20,17,37,3,-1.5
20,cle,htx,31,21,52,10,-13.5
21,clt,ram,24,27,51,-3,3.5
22,jax,den,13,23,36,-10,6.0
23,nyj,nwe,6,25,31,-19,6.0
24,phi,sfo,11,17,28,-6,3.0
25,pit,rai,17,26,43,-9,-6.0
26,tam,atl,48,25,73,23,-12.5
27,crd,min,34,33,67,1,-3.5
28,sdg,dal,17,20,37,-3,-3.0
29,sea,oti,30,33,63,-3,-6.5
30,rav,kan,36,35,71,1,4.0
31,gnb,det,35,17,52,18,-11.5
32,htx,car,9,24,33,-15,9.0
33,nyg,atl,14,17,31,-3,-3.0
34,buf,was,43,21,64,22,-7.0
35,cle,chi,26,6,32,20,-7.5
36,pit,cin,10,24,34,-14,-3.0
37,oti,clt,25,16,41,9,-5.5
38,jax,crd,19,31,50,-12,7.5
39,det,rav,17,19,36,-2,7.5
40,kan,sdg,24,30,54,-6,-7.0
41,nwe,nor,13,28,41,-15,-3.0
42,den,nyj,26,0,26,26,-10.0
43,rai,mia,31,28,59,3,-4.0
44,min,sea,30,17,47,13,2.0
45,ram,tam,34,24,58,10,1.5
46,sfo,gnb,28,30,58,-2,-3.0
47,dal,phi,41,21,62,20,-3.5
48,cin,jax,24,21,45,3,-7.5
49,atl,was,30,34,64,-4,2.0
50,buf,htx,40,0,40,40,-17.5
51,dal,car,36,28,64,8,-4.0
52,chi,det,24,14,38,10,-3.0
53,min,cle,7,14,21,-7,1.0
54,mia,clt,17,27,44,-10,-2.5
55,phi,kan,30,42,72,-12,7.0
56,nor,nyg,21,27,48,-6,-7.0
57,nyj,oti,27,24,51,3,6.0
58,ram,crd,20,37,57,-17,-4.0
59,sfo,sea,21,28,49,-7,-2.5
60,den,rav,7,23,30,-16,1.0
61,gnb,pit,27,17,44,10,-6.0
62,nwe,tam,17,19,36,-2,7.0
63,sdg,rai,28,14,42,14,-3.0
64,sea,ram,17,26,43,-9,2.5
65,atl,nyj,27,20,47,7,-2.5
66,car,phi,18,21,39,-3,-3.0
67,cin,gnb,22,25,47,-3,3.0
68,pit,den,27,19,46,8,1.5
69,min,det,19,17,36,2,-10.0
70,htx,nwe,22,25,47,-3,8.0
71,jax,oti,19,37,56,-18,4.5
72,tam,mia,45,17,62,28,-10.0
73,was,nor,22,33,55,-11,2.5
74,rai,chi,9,20,29,-11,-5.5
75,sdg,cle,47,42,89,5,-2.5
76,crd,sfo,17,10,27,7,-5.0
77,dal,nyg,44,20,64,24,-7.0
78,kan,buf,20,38,58,-18,-2.5
79,rav,clt,31,25,56,6,-7.0
80,phi,tam,22,28,50,-6,7.0
81,jax,mia,23,20,43,3,3.0
82,car,min,28,34,62,-6,2.5
83,chi,gnb,14,24,38,-10,6.0
84,det,cin,11,34,45,-23,3.5
85,clt,htx,31,3,34,28,-10.0
86,was,kan,13,31,44,-18,7.0
87,nyg,ram,11,38,49,-27,9.0
88,rav,sdg,34,6,40,28,-2.5
89,cle,crd,14,37,51,-23,-3.5
90,nwe,dal,29,35,64,-6,3.5
91,den,rai,24,34,58,-10,-4.0
92,pit,sea,23,20,43,3,-5.0
93,oti,buf,34,31,65,3,6.0
94,cle,den,17,14,31,3,-1.5
95,mia,atl,28,30,58,-2,2.0
96,nyg,car,25,3,28,22,3.0
97,rav,cin,17,41,58,-24,-6.5
98,gnb,was,24,10,34,14,-8.0
99,oti,kan,27,3,30,24,4.0
100,nwe,nyj,54,13,67,41,-7.0
101,ram,det,28,19,47,9,-16.5
102,rai,phi,33,22,55,11,-3.0
103,tam,chi,38,3,41,35,-11.5
104,crd,htx,31,5,36,26,-18.0
105,sfo,clt,18,30,48,-12,-4.0
106,sea,nor,10,13,23,-3,4.5
107,crd,gnb,21,24,45,-3,-6.5
108,atl,car,13,19,32,-6,-3.0
109,buf,mia,26,11,37,15,-14.0
110,chi,sfo,22,33,55,-11,4.0
111,nyj,cin,34,31,65,3,11.0
112,cle,pit,10,15,25,-5,-4.5
113,clt,oti,31,34,65,-3,-3.0
114,det,phi,6,44,50,-38,3.5
115,htx,ram,22,38,60,-16,16.0
116,sea,jax,31,7,38,24,-3.5
117,sdg,nwe,24,27,51,-3,-4.5
118,nor,tam,36,27,63,9,4.5
119,den,was,17,10,27,7,-3.5
120,min,dal,16,20,36,-4,-3.0
121,kan,nyg,20,17,37,3,-10.0
122,clt,nyj,45,30,75,15,-10.5
123,nor,atl,25,27,52,-2,-6.0
124,jax,buf,9,6,15,3,14.5
125,dal,den,16,30,46,-14,-10.0
126,rav,min,34,31,65,3,-6.0
127,car,nwe,6,24,30,-18,3.5
128,cin,cle,16,41,57,-25,-2.5
129,mia,htx,17,9,26,8,-5.5
130,nyg,rai,23,16,39,7,3.0
131,phi,sdg,24,27,51,-3,1.5
132,sfo,crd,17,31,48,-14,-3.5
133,kan,gnb,13,7,20,6,-7.5
134,ram,oti,16,28,44,-12,-7.5
135,pit,chi,29,27,56,2,-6.5
136,mia,rav,22,10,32,12,7.5
137,dal,atl,43,3,46,40,-8.0
138,nyj,buf,17,45,62,-28,13.0
139,pit,det,16,16,32,0,-6.0
140,oti,nor,23,21,44,2,-3.0
141,was,tam,29,19,48,10,9.5
142,nwe,cle,45,7,52,38,-2.5
143,clt,jax,23,17,40,6,-10.0
144,sdg,min,20,27,47,-7,-3.0
145,crd,car,10,34,44,-24,-10.5
146,den,phi,13,30,43,-17,-2.0
147,gnb,sea,17,0,17,17,-3.5
148,rai,kan,14,41,55,-27,2.5
149,sfo,ram,31,10,41,21,4.0
150,atl,nwe,0,25,25,-25,7.0
151,buf,clt,15,41,56,-26,-7.0
152,chi,rav,13,16,29,-3,5.0
153,oti,htx,13,22,35,-9,-10.0
154,jax,sfo,10,30,40,-20,6.5
155,phi,nor,40,29,69,11,-2.5
156,car,was,21,27,48,-6,-3.5
157,cle,det,13,10,23,3,-12.5
158,min,gnb,34,31,65,3,1.0
159,nyj,mia,17,24,41,-7,3.5
160,rai,cin,13,32,45,-19,1.0
161,kan,dal,19,9,28,10,-2.5
162,sea,crd,13,23,36,-10,-2.5
163,sdg,pit,41,37,78,4,-5.5
164,tam,nyg,30,10,40,20,-11.0
165,det,chi,14,16,30,-2,3.0
166,dal,rai,33,36,69,-3,-7.5
167,nor,buf,6,31,37,-25,6.5
168,jax,atl,14,21,35,-7,2.0
169,cin,pit,41,10,51,31,-3.5
170,htx,nyj,14,21,35,-7,-2.5
171,nyg,phi,13,7,20,6,3.5
172,mia,car,33,10,43,23,2.5
173,clt,tam,31,38,69,-7,3.0
174,nwe,oti,36,13,49,23,-7.0
175,den,sdg,28,13,41,15,3.0
176,sfo,min,34,26,60,8,-3.5
177,gnb,ram,36,28,64,8,2.0
178,rav,cle,16,10,26,6,-3.5
179,was,sea,17,15,32,2,0.0
180,nor,dal,17,27,44,-10,5.0
181,atl,tam,17,30,47,-13,10.5
182,chi,crd,22,33,55,-11,7.5
183,cin,sdg,22,41,63,-19,-3.0
184,det,min,29,27,56,2,7.0
185,nyj,phi,18,33,51,-15,5.0
186,htx,clt,0,31,31,-31,10.0
187,mia,nyg,20,9,29,11,-6.5
188,sea,sfo,30,23,53,7,3.5
189,rai,was,15,17,32,-2,-1.5
190,ram,jax,37,7,44,30,-13.0
191,pit,rav,20,19,39,1,4.5
192,kan,den,22,9,31,13,-9.5
193,buf,nwe,10,14,24,-4,-4.0
194,min,pit,36,28,64,8,-3.0
195,car,atl,21,29,50,-8,-2.5
196,cin,sfo,23,26,49,-3,1.5
197,cle,rav,24,22,46,2,-3.0
198,was,dal,20,27,47,-7,4.5
199,htx,sea,13,33,46,-20,9.0
200,oti,jax,20,0,20,20,-8.5
201,kan,rai,48,9,57,39,-10.0
202,nyj,nor,9,30,39,-21,5.5
203,den,det,38,10,48,28,-11.0
204,sdg,nyg,37,21,58,16,-9.0
205,tam,buf,33,27,60,6,-3.5
206,gnb,chi,45,30,75,15,-11.5
207,crd,ram,23,30,53,-7,-2.5
208,sdg,kan,28,34,62,-6,3.0
209,clt,nwe,27,17,44,10,-2.5
210,buf,car,31,14,45,17,-14.5
211,det,crd,30,12,42,18,13.0
212,nyg,dal,6,21,27,-15,11.5
213,rav,gnb,30,31,61,-1,9.5
214,jax,htx,16,30,46,-14,-6.0
215,mia,nyj,31,24,55,7,-10.0
216,pit,oti,19,13,32,6,-1.0
217,sfo,atl,31,13,44,18,-8.5
218,den,cin,10,15,25,-5,-3.0
219,tam,nor,0,9,9,-9,-11.5
220,cle,rai,14,16,30,-2,-3.0
221,chi,min,9,17,26,-8,6.5
222,phi,was,27,17,44,10,-6.5
223,ram,sea,20,10,30,10,-7.0
224,oti,sfo,20,17,37,3,3.5
225,gnb,cle,24,22,46,2,-7.5
226,crd,clt,16,22,38,-6,-2.0
227,atl,det,20,16,36,4,-6.5
228,nwe,buf,21,33,54,-12,-1.5
229,car,tam,6,32,38,-26,9.5
230,cin,rav,41,21,62,20,-7.0
231,htx,sdg,41,29,70,12,11.0
232,nyj,jax,26,21,47,5,-1.5
233,min,ram,23,30,53,-7,3.5
234,phi,nyg,34,10,44,24,-10.0
235,sea,chi,24,25,49,-1,-6.5
236,rai,den,17,13,30,4,0.0
237,kan,pit,36,10,46,26,-12.5
238,dal,was,56,14,70,42,-10.0
239,nor,mia,3,20,23,-17,2.5
240,buf,atl,29,15,44,14,-14.5
241,nor,car,18,10,28,8,-6.5
242,chi,nyg,29,3,32,26,-6.5
243,cin,kan,34,31,65,3,4.0
244,clt,rai,20,23,43,-3,-8.0
245,dal,crd,22,25,47,-3,-6.5
246,nwe,jax,50,10,60,40,-16.5
247,oti,mia,34,3,37,31,-3.0
248,nyj,tam,24,28,52,-4,13.5
249,was,phi,16,20,36,-4,4.5
250,sdg,den,34,13,47,21,-7.5
251,sfo,htx,23,7,30,16,-12.5
252,sea,det,51,29,80,22,-7.0
253,rav,ram,19,20,39,-1,6.0
254,gnb,min,37,10,47,27,-13.0
255,pit,cle,26,14,40,12,-2.0
256,den,kan,24,28,52,-4,11.0
257,phi,dal,26,51,77,-25,4.0
258,atl,nor,20,30,50,-10,3.5
259,buf,nyj,27,10,37,17,-16.5
260,tam,car,41,17,58,24,-9.0
261,min,chi,31,17,48,14,-4.0
262,cle,cin,21,16,37,5,-5.5
263,jax,clt,26,11,37,15,15.0
264,det,gnb,37,30,67,7,3.0
265,htx,oti,25,28,53,-3,10.5
266,mia,nwe,33,24,57,9,6.0
267,nyg,was,7,22,29,-15,7.0
268,rav,pit,13,16,29,-3,-3.5
269,crd,sea,30,38,68,-8,-5.5
270,ram,sfo,24,27,51,-3,-3.5
271,rai,sdg,35,32,67,3,3.0
