,team_abbr,points_for,yards,plays,yards_per_plbay,turnovers,fumbles_lost,first_downs,completions,pass_attempts,pass_yards,pass_tds,interceptions,pass_yards_per_attempt,pass_first_downs,rush_attempts,rush_yards,rush_tds,rush_yards_per_attempt,rush_first_downs,penalties,penalty_yards,penalty_first_downs,num_drives,scoring_percentage,turnover_percentage,o_points_for,o_yards,o_plays,o_yards_per_play,o_turnovers,o_fumbles_lost,o_first_downs,o_completions,o_pass_attempts,o_pass_yards,o_pass_tds,o_interceptions,o_pass_yards_per_attempt,o_pass_first_downs,o_rush_attempts,o_rush_yards,o_rush_tds,o_rush_yards_per_attempt,o_rush_first_downs,o_penalties,o_penalty_yards,o_penalty_first_downs,o_num_drives,o_scoring_percentage,o_turnover_percentage,3D_attempts,3D_conversions,3D_conversion_percentage,4D_attempts,4D_conversions,4D_conversion_percentage,red_zone_attempts,red_zone_tds,red_zone_td_percentage,o_3D_attempts,o_3D_conversions,o_3D_conversion_percentage,o_4D_attempts,o_4D_conversions,o_4D_conversion_percentage,o_red_zone_attempts,o_red_zone_tds,o_red_zone_td_percentage
0,crd,289.0,4309.0,931.0,4.6,35.0,16.0,241.0,285.0,561.0,2921.0,10.0,19.0,4.8,154.0,320.0,1388.0,9.0,4.3,67.0,108.0,870.0,20.0,190.0,23.7,15.8,434.0,5977.0,1092.0,5.5,30.0,13.0,339.0,324.0,533.0,3654.0,22.0,17.0,6.5,178.0,526.0,2323.0,19.0,4.4,123.0,108.0,894.0,38.0,204.0,39.7,13.2,209.0,58.0,27.8,18.0,7.0,38.9,37.0,16.0,43.2,233.0,87.0,37.3,17.0,9.0,52.9,69.0,27.0,39.1
1,atl,414.0,5458.0,1097.0,5.0,17.0,8.0,353.0,361.0,577.0,3567.0,28.0,9.0,5.9,200.0,497.0,1891.0,14.0,3.8,111.0,58.0,598.0,42.0,178.0,39.3,9.0,288.0,5319.0,957.0,5.6,31.0,9.0,284.0,364.0,560.0,3625.0,23.0,22.0,6.1,183.0,366.0,1694.0,9.0,4.6,87.0,116.0,1003.0,14.0,180.0,26.1,16.1,240.0,112.0,46.7,15.0,11.0,73.3,58.0,35.0,60.3,201.0,79.0,39.3,17.0,9.0,52.9,42.0,23.0,54.8
2,rav,357.0,5166.0,1018.0,5.1,20.0,10.0,303.0,308.0,491.0,3335.0,25.0,10.0,6.3,175.0,487.0,1831.0,11.0,3.8,97.0,90.0,673.0,31.0,189.0,32.8,9.5,270.0,5102.0,1007.0,5.1,27.0,8.0,284.0,349.0,596.0,3599.0,22.0,19.0,5.8,187.0,384.0,1503.0,5.0,3.9,79.0,117.0,984.0,18.0,185.0,29.2,13.5,210.0,82.0,39.0,10.0,4.0,40.0,51.0,25.0,49.0,229.0,87.0,38.0,12.0,6.0,50.0,40.0,17.0,42.5
3,buf,283.0,4878.0,954.0,5.1,39.0,18.0,263.0,296.0,519.0,3158.0,24.0,21.0,5.7,166.0,401.0,1720.0,6.0,4.3,82.0,82.0,633.0,15.0,182.0,25.3,19.2,425.0,5786.0,1071.0,5.4,22.0,11.0,335.0,294.0,473.0,3072.0,28.0,11.0,6.1,179.0,571.0,2714.0,18.0,4.8,138.0,85.0,634.0,18.0,191.0,39.3,10.5,211.0,80.0,37.9,24.0,11.0,45.8,37.0,19.0,51.4,227.0,98.0,43.2,10.0,7.0,70.0,54.0,33.0,61.1
4,car,196.0,4135.0,962.0,4.3,37.0,16.0,225.0,256.0,484.0,2289.0,9.0,21.0,4.3,125.0,428.0,1846.0,7.0,4.3,78.0,106.0,918.0,22.0,197.0,20.8,17.8,408.0,5374.0,1060.0,5.1,29.0,12.0,328.0,326.0,526.0,3393.0,19.0,17.0,6.1,176.0,503.0,1981.0,20.0,3.9,121.0,90.0,765.0,31.0,196.0,35.2,14.3,227.0,69.0,30.4,23.0,10.0,43.5,33.0,10.0,30.3,213.0,81.0,38.0,9.0,4.0,44.4,66.0,32.0,48.5
5,chi,334.0,4631.0,936.0,4.9,31.0,10.0,263.0,276.0,466.0,3015.0,23.0,21.0,5.8,163.0,414.0,1616.0,10.0,3.9,76.0,91.0,768.0,24.0,198.0,29.3,15.7,286.0,5029.0,1002.0,5.0,35.0,14.0,282.0,363.0,582.0,3588.0,14.0,21.0,5.8,183.0,386.0,1441.0,14.0,3.7,88.0,93.0,790.0,11.0,196.0,25.0,17.9,195.0,64.0,32.8,7.0,2.0,28.6,51.0,23.0,45.1,216.0,75.0,34.7,13.0,6.0,46.2,42.0,20.0,47.6
6,cin,322.0,5289.0,1046.0,5.1,34.0,14.0,317.0,365.0,590.0,3767.0,26.0,20.0,6.1,206.0,428.0,1522.0,8.0,3.6,85.0,90.0,725.0,26.0,190.0,30.5,16.3,395.0,5312.0,957.0,5.6,26.0,10.0,290.0,326.0,514.0,3469.0,21.0,16.0,6.4,170.0,416.0,1843.0,15.0,4.4,97.0,95.0,776.0,23.0,182.0,35.2,13.2,224.0,87.0,38.8,19.0,13.0,68.4,55.0,27.0,49.1,198.0,75.0,37.9,7.0,2.0,28.6,45.0,21.0,46.7
7,cle,271.0,4635.0,927.0,5.0,29.0,11.0,265.0,296.0,478.0,2989.0,13.0,18.0,5.8,154.0,413.0,1646.0,13.0,4.0,87.0,78.0,675.0,24.0,177.0,27.7,15.8,332.0,5601.0,1041.0,5.4,28.0,9.0,317.0,309.0,507.0,3531.0,26.0,19.0,6.6,195.0,505.0,2070.0,7.0,4.1,102.0,85.0,741.0,20.0,176.0,34.1,15.3,202.0,75.0,37.1,7.0,5.0,71.4,42.0,19.0,45.2,224.0,96.0,42.9,15.0,11.0,73.3,48.0,23.0,47.9
8,dal,394.0,5828.0,1035.0,5.6,30.0,11.0,327.0,379.0,576.0,4042.0,29.0,19.0,6.7,201.0,428.0,1786.0,10.0,4.2,104.0,109.0,863.0,22.0,182.0,34.6,14.8,436.0,5628.0,977.0,5.8,30.0,10.0,309.0,348.0,540.0,3894.0,33.0,20.0,6.8,200.0,402.0,1734.0,11.0,4.3,84.0,79.0,641.0,25.0,188.0,36.7,15.4,211.0,86.0,40.8,22.0,13.0,59.1,47.0,28.0,59.6,204.0,81.0,39.7,9.0,4.0,44.4,53.0,35.0,66.0
9,den,344.0,5582.0,1018.0,5.5,27.0,15.0,309.0,334.0,580.0,4038.0,25.0,12.0,6.5,204.0,398.0,1544.0,13.0,3.9,81.0,98.0,944.0,24.0,196.0,30.6,11.7,471.0,6253.0,1056.0,5.9,18.0,8.0,334.0,297.0,502.0,3780.0,26.0,10.0,7.2,184.0,531.0,2473.0,26.0,4.7,126.0,98.0,921.0,24.0,199.0,40.7,8.0,207.0,67.0,32.4,19.0,6.0,31.6,52.0,29.0,55.8,209.0,80.0,38.3,16.0,10.0,62.5,52.0,32.0,61.5
10,det,362.0,5423.0,1064.0,5.1,25.0,9.0,304.0,383.0,633.0,3810.0,26.0,16.0,5.8,199.0,404.0,1613.0,11.0,4.0,83.0,136.0,1018.0,22.0,193.0,32.1,12.4,369.0,5497.0,1005.0,5.5,29.0,15.0,320.0,330.0,518.0,3498.0,23.0,14.0,6.2,187.0,443.0,1999.0,18.0,4.5,98.0,106.0,854.0,35.0,192.0,31.3,13.5,242.0,97.0,40.1,16.0,10.0,62.5,45.0,29.0,64.4,198.0,77.0,38.9,12.0,5.0,41.7,46.0,27.0,58.7
11,gnb,388.0,5730.0,1000.0,5.7,22.0,9.0,312.0,352.0,541.0,4124.0,31.0,13.0,7.1,204.0,421.0,1606.0,11.0,3.8,88.0,78.0,617.0,20.0,183.0,35.0,10.9,240.0,4945.0,969.0,5.1,32.0,8.0,270.0,296.0,527.0,3107.0,16.0,24.0,5.4,163.0,395.0,1838.0,6.0,4.7,82.0,98.0,758.0,25.0,182.0,25.3,16.5,205.0,85.0,41.5,13.0,5.0,38.5,53.0,32.0,60.4,213.0,77.0,36.2,20.0,6.0,30.0,31.0,15.0,48.4
12,htx,390.0,6186.0,1029.0,6.0,18.0,6.0,360.0,365.0,574.0,4144.0,24.0,12.0,6.8,222.0,423.0,2042.0,20.0,4.8,118.0,90.0,690.0,20.0,179.0,39.7,10.1,427.0,6031.0,1010.0,6.0,18.0,5.0,352.0,354.0,547.0,4280.0,33.0,13.0,7.4,211.0,433.0,1751.0,16.0,4.0,113.0,105.0,851.0,28.0,174.0,40.2,10.3,192.0,79.0,41.1,19.0,9.0,47.4,53.0,33.0,62.3,195.0,77.0,39.5,13.0,11.0,84.6,59.0,40.0,67.8
13,clt,435.0,6092.0,1088.0,5.6,25.0,8.0,366.0,450.0,679.0,4609.0,33.0,17.0,6.6,253.0,393.0,1483.0,13.0,3.8,87.0,79.0,709.0,26.0,179.0,40.2,13.4,388.0,5465.0,1010.0,5.4,21.0,11.0,314.0,356.0,535.0,3433.0,22.0,10.0,6.1,190.0,445.0,2032.0,14.0,4.6,111.0,95.0,812.0,13.0,181.0,37.0,10.5,204.0,91.0,44.6,8.0,5.0,62.5,56.0,38.0,67.9,200.0,78.0,39.0,18.0,8.0,44.4,48.0,25.0,52.1
14,jax,353.0,5460.0,1019.0,5.4,33.0,12.0,330.0,291.0,469.0,3065.0,26.0,21.0,6.0,161.0,512.0,2395.0,14.0,4.7,148.0,83.0,675.0,21.0,177.0,35.0,16.9,419.0,5949.0,948.0,6.3,18.0,5.0,316.0,329.0,506.0,4004.0,28.0,13.0,7.5,197.0,416.0,1945.0,19.0,4.7,98.0,85.0,748.0,21.0,174.0,40.2,9.8,203.0,81.0,39.9,25.0,16.0,64.0,46.0,29.0,63.0,189.0,78.0,41.3,18.0,8.0,44.4,57.0,31.0,54.4
15,kan,366.0,5595.0,1063.0,5.3,14.0,6.0,319.0,274.0,475.0,2968.0,27.0,8.0,5.9,167.0,556.0,2627.0,13.0,4.7,129.0,90.0,771.0,23.0,192.0,31.3,6.8,326.0,5283.0,1028.0,5.1,23.0,9.0,293.0,319.0,581.0,3519.0,23.0,14.0,5.7,186.0,408.0,1764.0,11.0,4.3,88.0,111.0,922.0,19.0,192.0,28.1,10.9,226.0,83.0,36.7,23.0,10.0,43.5,52.0,31.0,59.6,223.0,84.0,37.7,20.0,7.0,35.0,37.0,26.0,70.3
16,rai,410.0,5674.0,1039.0,5.5,26.0,10.0,306.0,279.0,491.0,3180.0,18.0,16.0,5.9,159.0,504.0,2494.0,19.0,4.9,113.0,148.0,1276.0,34.0,203.0,34.5,11.8,371.0,5165.0,991.0,5.2,24.0,12.0,292.0,249.0,470.0,3027.0,29.0,12.0,5.9,150.0,474.0,2138.0,14.0,4.5,98.0,117.0,1161.0,44.0,205.0,31.2,9.3,220.0,75.0,34.1,20.0,8.0,40.0,48.0,25.0,52.1,218.0,76.0,34.9,11.0,3.0,27.3,49.0,26.0,53.1
17,sdg,441.0,6329.0,1039.0,6.1,29.0,16.0,357.0,359.0,544.0,4519.0,30.0,13.0,7.8,236.0,457.0,1810.0,18.0,4.0,94.0,84.0,677.0,27.0,186.0,40.3,14.5,322.0,4345.0,939.0,4.6,23.0,7.0,247.0,285.0,488.0,2845.0,18.0,16.0,5.3,153.0,404.0,1500.0,14.0,3.7,77.0,97.0,769.0,17.0,184.0,26.1,12.5,205.0,92.0,44.9,13.0,5.0,38.5,59.0,33.0,55.9,208.0,70.0,33.7,28.0,12.0,42.9,43.0,27.0,62.8
18,ram,289.0,4846.0,1053.0,4.6,21.0,6.0,292.0,354.0,590.0,3268.0,18.0,15.0,5.2,179.0,429.0,1578.0,9.0,3.7,84.0,102.0,877.0,29.0,199.0,30.2,9.5,328.0,5388.0,1017.0,5.3,26.0,12.0,304.0,328.0,570.0,3578.0,21.0,14.0,5.8,191.0,404.0,1810.0,7.0,4.5,88.0,126.0,1008.0,25.0,191.0,33.0,12.6,235.0,78.0,33.2,15.0,8.0,53.3,56.0,20.0,35.7,221.0,74.0,33.5,12.0,6.0,50.0,45.0,22.0,48.9
19,mia,273.0,5170.0,1040.0,5.0,31.0,10.0,300.0,335.0,557.0,3527.0,17.0,21.0,5.9,189.0,445.0,1643.0,8.0,3.7,91.0,72.0,595.0,20.0,185.0,29.7,15.7,333.0,4949.0,988.0,5.0,19.0,8.0,264.0,288.0,502.0,3348.0,22.0,11.0,6.2,166.0,447.0,1601.0,8.0,3.6,84.0,85.0,730.0,14.0,181.0,31.5,9.9,230.0,92.0,40.0,10.0,3.0,30.0,34.0,18.0,52.9,226.0,84.0,37.2,22.0,8.0,36.4,45.0,18.0,40.0
20,min,281.0,5039.0,982.0,5.1,37.0,11.0,289.0,305.0,505.0,3097.0,14.0,26.0,5.7,159.0,441.0,1942.0,16.0,4.4,104.0,100.0,769.0,26.0,189.0,24.9,19.0,348.0,5002.0,977.0,5.1,26.0,11.0,276.0,333.0,529.0,3367.0,25.0,15.0,6.0,178.0,417.0,1635.0,10.0,3.9,87.0,98.0,786.0,11.0,184.0,28.8,12.5,205.0,71.0,34.6,17.0,8.0,47.1,46.0,20.0,43.5,213.0,87.0,40.8,10.0,5.0,50.0,46.0,26.0,56.5
21,nwe,518.0,5820.0,986.0,5.9,10.0,5.0,335.0,331.0,507.0,3847.0,37.0,5.0,7.2,196.0,454.0,1973.0,19.0,4.3,119.0,83.0,766.0,20.0,166.0,47.0,5.4,313.0,5864.0,1056.0,5.6,38.0,13.0,348.0,388.0,611.0,4136.0,25.0,25.0,6.4,226.0,409.0,1728.0,10.0,4.2,99.0,84.0,687.0,23.0,176.0,30.7,21.0,197.0,95.0,48.2,14.0,7.0,50.0,67.0,42.0,62.7,210.0,99.0,47.1,20.0,12.0,60.0,50.0,27.0,54.0
22,nor,384.0,5960.0,1067.0,5.6,31.0,9.0,351.0,450.0,661.0,4441.0,33.0,22.0,6.5,236.0,380.0,1519.0,9.0,4.0,94.0,90.0,884.0,21.0,174.0,38.5,16.7,307.0,4900.0,948.0,5.2,25.0,16.0,273.0,306.0,494.0,3103.0,13.0,9.0,5.9,150.0,421.0,1797.0,13.0,4.3,94.0,88.0,701.0,29.0,173.0,31.8,12.7,217.0,106.0,48.8,11.0,5.0,45.5,61.0,31.0,50.8,203.0,70.0,34.5,23.0,15.0,65.2,45.0,20.0,44.4
23,nyg,394.0,6085.0,1035.0,5.9,42.0,17.0,331.0,339.0,539.0,3885.0,31.0,25.0,7.0,192.0,480.0,2200.0,17.0,4.6,112.0,92.0,777.0,27.0,207.0,32.4,20.3,347.0,4990.0,974.0,5.1,39.0,23.0,263.0,308.0,539.0,3370.0,24.0,16.0,5.8,159.0,389.0,1620.0,11.0,4.2,88.0,107.0,899.0,16.0,202.0,28.7,18.3,206.0,74.0,35.9,11.0,3.0,27.3,54.0,31.0,57.4,208.0,66.0,31.7,17.0,9.0,52.9,47.0,25.0,53.2
24,nyj,367.0,5616.0,1087.0,5.2,21.0,7.0,307.0,288.0,525.0,3242.0,20.0,14.0,5.9,171.0,534.0,2374.0,14.0,4.4,118.0,103.0,934.0,18.0,199.0,32.2,10.6,304.0,4664.0,979.0,4.8,30.0,18.0,272.0,269.0,531.0,3210.0,24.0,12.0,5.6,169.0,408.0,1454.0,11.0,3.6,70.0,74.0,679.0,33.0,201.0,26.4,13.9,235.0,93.0,39.6,14.0,5.0,35.7,50.0,20.0,40.0,219.0,81.0,37.0,6.0,4.0,66.7,43.0,26.0,60.5
25,phi,439.0,6230.0,1038.0,6.0,25.0,12.0,322.0,348.0,561.0,3906.0,28.0,13.0,6.4,189.0,428.0,2324.0,18.0,5.4,116.0,129.0,1101.0,17.0,196.0,39.8,11.7,377.0,5235.0,998.0,5.2,34.0,11.0,309.0,309.0,536.0,3469.0,31.0,23.0,6.0,185.0,423.0,1766.0,12.0,4.2,91.0,87.0,724.0,33.0,194.0,31.4,17.0,214.0,85.0,39.7,13.0,9.0,69.2,58.0,31.0,53.4,209.0,80.0,38.3,12.0,5.0,41.7,43.0,33.0,76.7
26,pit,375.0,5525.0,993.0,5.6,18.0,9.0,295.0,298.0,479.0,3601.0,22.0,9.0,6.9,175.0,471.0,1924.0,15.0,4.1,106.0,100.0,903.0,14.0,179.0,36.9,9.5,232.0,4429.0,974.0,4.5,35.0,14.0,272.0,363.0,593.0,3425.0,15.0,21.0,5.3,182.0,333.0,1004.0,5.0,3.0,61.0,86.0,716.0,29.0,179.0,25.7,17.3,218.0,94.0,43.1,5.0,2.0,40.0,50.0,24.0,48.0,209.0,70.0,33.5,16.0,10.0,62.5,40.0,16.0,40.0
27,sfo,305.0,5013.0,945.0,5.3,23.0,8.0,251.0,282.0,500.0,3356.0,19.0,15.0,6.2,149.0,401.0,1657.0,10.0,4.1,85.0,112.0,933.0,17.0,190.0,26.8,11.1,346.0,5244.0,1033.0,5.1,22.0,7.0,299.0,358.0,550.0,3697.0,25.0,15.0,6.3,188.0,447.0,1547.0,9.0,3.5,86.0,97.0,839.0,25.0,195.0,31.8,11.3,213.0,68.0,31.9,16.0,8.0,50.0,42.0,20.0,47.6,217.0,84.0,38.7,13.0,3.0,23.1,55.0,26.0,47.3
28,sea,310.0,4765.0,964.0,4.9,31.0,11.0,260.0,324.0,544.0,3341.0,14.0,20.0,5.8,159.0,385.0,1424.0,13.0,3.7,81.0,101.0,890.0,20.0,196.0,26.5,14.8,407.0,5897.0,1074.0,5.5,22.0,10.0,313.0,339.0,585.0,3994.0,31.0,12.0,6.4,206.0,452.0,1903.0,13.0,4.2,91.0,91.0,706.0,16.0,192.0,35.9,9.9,214.0,76.0,35.5,17.0,6.0,35.3,50.0,21.0,42.0,238.0,94.0,39.5,19.0,8.0,42.1,65.0,30.0,46.2
29,tam,341.0,5362.0,955.0,5.6,19.0,13.0,288.0,306.0,494.0,3361.0,26.0,6.0,6.4,172.0,431.0,2001.0,9.0,4.6,97.0,100.0,837.0,19.0,172.0,33.7,9.3,318.0,5323.0,991.0,5.4,28.0,9.0,307.0,307.0,521.0,3216.0,23.0,19.0,5.9,171.0,444.0,2107.0,12.0,4.7,118.0,79.0,676.0,18.0,177.0,29.4,14.7,211.0,89.0,42.2,14.0,10.0,71.4,44.0,23.0,52.3,213.0,92.0,43.2,17.0,9.0,52.9,48.0,26.0,54.2
30,oti,356.0,4834.0,907.0,5.3,29.0,14.0,252.0,273.0,474.0,3107.0,24.0,15.0,6.2,155.0,406.0,1727.0,13.0,4.3,73.0,128.0,1040.0,24.0,184.0,33.2,14.7,339.0,5883.0,1139.0,5.2,25.0,8.0,356.0,410.0,625.0,4032.0,23.0,17.0,6.1,214.0,474.0,1851.0,7.0,3.9,107.0,114.0,1039.0,35.0,183.0,37.7,13.1,204.0,71.0,34.8,14.0,8.0,57.1,43.0,25.0,58.1,242.0,104.0,43.0,22.0,9.0,40.9,63.0,26.0,41.3
31,was,302.0,5374.0,1002.0,5.4,31.0,12.0,295.0,349.0,605.0,3913.0,21.0,19.0,6.0,194.0,351.0,1461.0,9.0,4.2,72.0,90.0,647.0,29.0,205.0,26.3,14.6,377.0,6228.0,1051.0,5.9,27.0,13.0,326.0,367.0,578.0,4187.0,23.0,14.0,6.9,207.0,444.0,2041.0,15.0,4.6,106.0,104.0,839.0,13.0,203.0,32.5,12.3,208.0,61.0,29.3,12.0,6.0,50.0,43.0,22.0,51.2,214.0,75.0,35.0,10.0,7.0,70.0,57.0,28.0,49.1
